comparator_mode,system_id,seed,badness_target,mean_absolute_margin,mean_relative_margin,deployable,diagnostic
global_calibration_selected_baseline,cstr,1,bad_rmse,0.00238095238095238,0.016666666666666666,True,False
global_calibration_selected_baseline,cstr,1,bad_rmse_or_event,0.00238095238095238,0.016666666666666666,True,False
global_calibration_selected_baseline,cstr,2,bad_event,0.0,0.0,True,False
global_calibration_selected_baseline,cstr,2,bad_rmse,0.048214285714285716,0.15353174603174605,True,False
global_calibration_selected_baseline,cstr,2,bad_rmse_or_event,0.048214285714285716,0.15353174603174605,True,False
global_calibration_selected_baseline,cstr,3,bad_event,0.0,0.0,True,False
global_calibration_selected_baseline,cstr,3,bad_rmse,0.004761904761904763,0.01071428571428572,True,False
global_calibration_selected_baseline,cstr,3,bad_rmse_or_event,-0.001785714285714285,0.008333333333333337,True,False
global_calibration_selected_baseline,cstr,4,bad_event,-0.01428571428571428,0.0,True,False
global_calibration_selected_baseline,cstr,4,bad_rmse,0.0,0.0,True,False
global_calibration_selected_baseline,cstr,4,bad_rmse_or_event,0.0,0.0,True,False
global_calibration_selected_baseline,cstr,5,bad_event,-0.1571428571428571,0.0,True,False
global_calibration_selected_baseline,cstr,5,bad_rmse,-0.0017857142857142867,0.03333333333333333,True,False
global_calibration_selected_baseline,cstr,5,bad_rmse_or_event,-0.0017857142857142867,0.03333333333333333,True,False
global_calibration_selected_baseline,cstr,6,bad_event,0.0,0.0,True,False
global_calibration_selected_baseline,cstr,6,bad_rmse,0.0023809523809523816,0.0023809523809523816,True,False
global_calibration_selected_baseline,cstr,6,bad_rmse_or_event,0.0,0.0,True,False
global_calibration_selected_baseline,cstr,7,bad_event,-0.06785714285714285,0.0,True,False
global_calibration_selected_baseline,cstr,7,bad_rmse,0.013095238095238094,0.013888888888888888,True,False
global_calibration_selected_baseline,cstr,7,bad_rmse_or_event,0.00238095238095238,0.016666666666666666,True,False
global_calibration_selected_baseline,cstr,8,bad_event,0.1464285714285714,0.6,True,False
global_calibration_selected_baseline,cstr,8,bad_rmse,0.05654761904761905,0.19876984126984126,True,False
global_calibration_selected_baseline,cstr,8,bad_rmse_or_event,0.15476190476190474,0.6987698412698413,True,False
global_calibration_selected_baseline,cstr,9,bad_event,-0.06428571428571428,0.1,True,False
global_calibration_selected_baseline,cstr,9,bad_rmse,0.0071428571428571435,0.027380952380952388,True,False
global_calibration_selected_baseline,cstr,9,bad_rmse_or_event,0.0071428571428571435,0.025000000000000005,True,False
global_calibration_selected_baseline,heat_exchanger,0,bad_event,0.06428571428571428,0.16,True,False
global_calibration_selected_baseline,heat_exchanger,0,bad_rmse,0.03273809523809523,0.10555555555555556,True,False
global_calibration_selected_baseline,heat_exchanger,0,bad_rmse_or_event,0.03273809523809523,0.10555555555555556,True,False
global_calibration_selected_baseline,heat_exchanger,1,bad_event,0.025,0.18333333333333332,True,False
global_calibration_selected_baseline,heat_exchanger,1,bad_rmse,0.01964285714285714,0.038095238095238085,True,False
global_calibration_selected_baseline,heat_exchanger,1,bad_rmse_or_event,0.05357142857142857,0.20476190476190476,True,False
global_calibration_selected_baseline,heat_exchanger,2,bad_event,0.10357142857142856,0.36,True,False
global_calibration_selected_baseline,heat_exchanger,2,bad_rmse,0.025595238095238095,0.075,True,False
global_calibration_selected_baseline,heat_exchanger,2,bad_rmse_or_event,0.025595238095238095,0.075,True,False
global_calibration_selected_baseline,heat_exchanger,3,bad_event,-0.010714285714285732,-0.07500000000000001,True,False
global_calibration_selected_baseline,heat_exchanger,3,bad_rmse,0.01726190476190476,0.08333333333333333,True,False
global_calibration_selected_baseline,heat_exchanger,3,bad_rmse_or_event,0.03511904761904761,0.18333333333333332,True,False
global_calibration_selected_baseline,heat_exchanger,4,bad_event,-0.09285714285714285,0.0,True,False
global_calibration_selected_baseline,heat_exchanger,4,bad_rmse,0.0,0.0,True,False
global_calibration_selected_baseline,heat_exchanger,4,bad_rmse_or_event,-0.006547619047619047,0.0,True,False
