system_id,seed,model_id,split,rmse_mean,mae_mean,max_abs_error_mean,final_state_error_mean,n_scenarios
two_tank,4,ensemble_mlp,judge_test_ood_inflow_spike,0.14794822097544477,0.1082406737643756,0.2824555769049801,0.2709458036899878,10
two_tank,4,ensemble_mlp,judge_test_pump_degradation,0.03969670155333057,0.028117055867178924,0.10507996337865677,0.1075627550220309,10
two_tank,4,gradient_boosted_narx,judge_test_id,0.05213873329244022,0.04803357529114462,0.07664129262798677,0.06709290228914572,10
two_tank,4,gradient_boosted_narx,judge_test_ood_action_magnitude,0.22395293070513408,0.193734849929136,0.3639498482217115,0.20582969692454314,10
two_tank,4,gradient_boosted_narx,judge_test_ood_combined,0.20658955839304335,0.1412767448615606,0.4372156473776612,0.3962956326551123,10
two_tank,4,gradient_boosted_narx,judge_test_ood_inflow_spike,0.19611474080692085,0.14293118734732338,0.4037589582355201,0.3517056784717799,10
two_tank,4,gradient_boosted_narx,judge_test_pump_degradation,0.08176784993236123,0.06047206505085025,0.1814129305598345,0.24316511096341925,10
two_tank,4,hold_last,judge_test_id,0.437565331528999,0.39229151319594646,0.6724074800389331,0.8914143907348044,10
two_tank,4,hold_last,judge_test_ood_action_magnitude,0.5083558542039011,0.47538649830635527,0.6270947410440417,0.83290236043888,10
two_tank,4,hold_last,judge_test_ood_combined,0.5948886120570156,0.4856716702002137,1.1067985857189861,1.2179886366680184,10
two_tank,4,hold_last,judge_test_ood_inflow_spike,0.42006296094343726,0.34126879907586116,0.8503946746758138,0.9106690346296771,10
two_tank,4,hold_last,judge_test_pump_degradation,0.2941590754055526,0.2687347938801704,0.4073533022498516,0.4658875211016009,10
two_tank,4,linear_narx,judge_test_id,0.013008042752513795,0.011485020629298851,0.01949817033102543,0.010520440972187422,10
two_tank,4,linear_narx,judge_test_ood_action_magnitude,0.2605794684419905,0.2160562153842815,0.41641906681330954,0.5881877689832071,10
two_tank,4,linear_narx,judge_test_ood_combined,0.1633458433154543,0.09673877888524192,0.41303515150600045,0.5828153072105859,10
two_tank,4,linear_narx,judge_test_ood_inflow_spike,0.018809193522549984,0.017087592875380423,0.03004397278985289,0.01399479145998879,10
two_tank,4,linear_narx,judge_test_pump_degradation,0.016727809545237605,0.01394811908934287,0.03043310580962748,0.04144747358469504,10
two_tank,4,mlp_state_space,judge_test_id,0.014768357942845289,0.013065348007364664,0.02663094206232137,0.018819057610036924,10
two_tank,4,mlp_state_space,judge_test_ood_action_magnitude,0.2599384693393562,0.21665943434167095,0.49928498793270426,0.4214269734118403,10
two_tank,4,mlp_state_space,judge_test_ood_combined,0.2053887113815088,0.13745536806435174,0.4399309275728184,0.4029311063214168,10
two_tank,4,mlp_state_space,judge_test_ood_inflow_spike,0.1500041901768713,0.1091967465913442,0.2853627456762768,0.27653551249357483,10
two_tank,4,mlp_state_space,judge_test_pump_degradation,0.026689097828605957,0.01886477984282713,0.070977444315759,0.07721168116480762,10
two_tank,5,ensemble_mlp,judge_test_id,0.014748042769944705,0.012983434175716246,0.025550630336940827,0.022989510752149625,10
two_tank,5,ensemble_mlp,judge_test_ood_action_magnitude,0.33558665415489425,0.27466454466363566,0.661890103620822,0.5175742237219609,10
two_tank,5,ensemble_mlp,judge_test_ood_combined,0.2117931482679689,0.1462741212910588,0.47341382409689725,0.40553228651096856,10
two_tank,5,ensemble_mlp,judge_test_ood_inflow_spike,0.20350139876372836,0.13519697440583694,0.425601195743668,0.36078394858617424,10
two_tank,5,ensemble_mlp,judge_test_pump_degradation,0.024794028065808466,0.019253415272435417,0.05523734766609341,0.06180131433227047,10
