system_id,seed,badness_target,coverage,mean_absolute_margin,mean_relative_margin,seed_win,false_accept_rate,baseline_far
heat_exchanger,4,bad_event,0.1,-0.11428571428571428,-0.03333333333333334,0.0,0.2857142857142857,0.17142857142857143
heat_exchanger,4,bad_rmse,0.05,0.0,0.0,0.0,0.23333333333333334,0.23333333333333334
heat_exchanger,4,bad_rmse,0.1,0.0,0.0,0.0,0.23809523809523808,0.23809523809523808
heat_exchanger,4,bad_rmse_or_event,0.05,-0.008333333333333333,0.0,0.0,0.24166666666666667,0.23333333333333334
heat_exchanger,4,bad_rmse_or_event,0.1,-0.00476190476190476,0.0,0.0,0.24285714285714285,0.23809523809523808
heat_exchanger,5,bad_event,0.05,0.0,0.0,0.0,0.2,0.2
heat_exchanger,5,bad_event,0.1,-0.05714285714285712,-0.03999999999999998,0.0,0.19999999999999998,0.14285714285714285
heat_exchanger,5,bad_rmse,0.05,0.0,0.0,0.0,0.20833333333333334,0.20833333333333334
heat_exchanger,5,bad_rmse,0.1,0.0,0.0,0.0,0.21904761904761905,0.21904761904761905
heat_exchanger,5,bad_rmse_or_event,0.05,0.0,0.0,0.0,0.20833333333333334,0.20833333333333334
heat_exchanger,5,bad_rmse_or_event,0.1,0.0,0.0,0.0,0.21904761904761905,0.21904761904761905
heat_exchanger,6,bad_event,0.05,-0.1,0.0,0.0,0.3,0.2
heat_exchanger,6,bad_event,0.1,-0.05714285714285714,0.0,0.0,0.2571428571428571,0.2
heat_exchanger,6,bad_rmse,0.05,0.0,0.0,0.0,0.2,0.2
heat_exchanger,6,bad_rmse,0.1,-0.00476190476190476,0.0,0.0,0.22857142857142856,0.22380952380952382
heat_exchanger,6,bad_rmse_or_event,0.05,0.0,0.0,0.0,0.2,0.2
heat_exchanger,6,bad_rmse_or_event,0.1,-0.00476190476190476,0.0,0.0,0.22857142857142856,0.22380952380952382
heat_exchanger,7,bad_event,0.05,-0.1,-0.2,0.0,0.2,0.1
heat_exchanger,7,bad_event,0.1,-0.08571428571428572,-0.15000000000000002,0.0,0.2,0.11428571428571428
heat_exchanger,7,bad_rmse,0.05,0.0,0.0,0.0,0.24166666666666667,0.24166666666666667
heat_exchanger,7,bad_rmse,0.1,0.0,0.0,0.0,0.2714285714285714,0.2714285714285714
heat_exchanger,7,bad_rmse_or_event,0.05,0.0,0.0,0.0,0.24166666666666667,0.24166666666666667
heat_exchanger,7,bad_rmse_or_event,0.1,0.0,0.0,0.0,0.2714285714285714,0.2714285714285714
heat_exchanger,8,bad_event,0.05,0.0,0.0,0.0,0.2,0.2
heat_exchanger,8,bad_event,0.1,-0.02857142857142858,-0.03333333333333334,0.0,0.2,0.17142857142857143
heat_exchanger,8,bad_rmse,0.05,-0.008333333333333333,-0.03333333333333333,0.0,0.21666666666666667,0.20833333333333334
