scenario_id,system_id,role,split,split_group,scenario_type,model_id,rmse,mae,max_abs_error,final_state_error,support_distance,uncertainty_score,disagreement_score,invariant_residual,repair_amount,bad_rmse_label,risk_support_only,risk_uncertainty_only,risk_disagreement_only,risk_invariant_only,risk_repair_only,risk_combined_linear,risk_random_baseline,risk_oracle_error_rank,risk_best_single_signal_selected_on_calibration,risk_rank_normalized_linear,risk_calibration_selected_candidate_ranker,risk_logistic_calibrated_judge,risk_isotonic_calibrated_judge,risk_quantile_rule_judge,risk_conservative_low_coverage_judge,true_any_event,predicted_any_event,true_overflow_event,predicted_overflow_event,bad_overflow_event,true_underflow_event,predicted_underflow_event,bad_underflow_event,bad_event,true_temperature_above_limit,predicted_temperature_above_limit,bad_temperature_above_limit,true_concentration_out_of_safe_range,predicted_concentration_out_of_safe_range,bad_concentration_out_of_safe_range,true_unsafe_reactor_state,predicted_unsafe_reactor_state,bad_unsafe_reactor_state
judge_test_unsafe_temperature_event_0028,cstr,judge_test,judge_test_unsafe_temperature_event,unsafe_temperature_event,unsafe_temperature_event,linear_narx,1.0835291758742935,0.6017141342425832,2.705400252396828,2.7054642133522258,25.764366032790644,0.011789682122455,6.911528592063751,0.0623496981198949,0.0,True,25.764366032790644,0.011789682122455,6.911528592063751,0.0623496981198949,0.0,0.5999588169945098,0.7161949326612588,1.0835291758742935,0.0623496981198949,0.5561904761904762,0.5561904761904762,0.9987392639965212,1.0,0.0623496981198949,1.8029473693321072,False,False,,,,,,,False,False,False,False,False,False,False,False,False,False
judge_test_unsafe_temperature_event_0028,cstr,judge_test,judge_test_unsafe_temperature_event,unsafe_temperature_event,unsafe_temperature_event,mlp_state_space,7.369806442328951,3.9726350875143255,19.811806722063864,19.81189786083122,25.764366032790644,0.0020584595533388,6.911528592063751,0.4092824133671968,0.0,True,25.764366032790644,0.0020584595533388,6.911528592063751,0.4092824133671968,0.0,0.5168106940205698,0.5144125419623794,7.369806442328951,0.4092824133671968,0.9104761904761904,0.9104761904761904,0.999999977168188,1.0,0.4092824133671968,1.797546638563006,False,False,,,,,,,False,False,False,False,False,False,False,False,False,False
judge_test_unsafe_temperature_event_0029,cstr,judge_test,judge_test_unsafe_temperature_event,unsafe_temperature_event,unsafe_temperature_event,hold_last,11.807172430479506,6.931200334110831,30.393852415159643,30.396627953719197,25.90552113080076,0.0,7.140186729739523,0.792428669195185,0.0,True,25.90552113080076,0.0,7.140186729739523,0.792428669195185,0.0,0.5807894908376071,0.0620263741593097,11.807172430479506,0.792428669195185,0.9904761904761904,0.9904761904761904,0.9999999999983498,1.0,0.792428669195185,2.1639751980523405,False,False,,,,,,,False,False,False,False,False,False,False,False,False,False
judge_test_unsafe_temperature_event_0029,cstr,judge_test,judge_test_unsafe_temperature_event,unsafe_temperature_event,unsafe_temperature_event,linear_narx,1.1444204082696257,0.6430867715672528,2.863896394976848,2.86397358686258,25.90552113080076,0.0117896821224163,7.140186729739523,0.0720308082933517,0.0,True,25.90552113080076,0.0117896821224163,7.140186729739523,0.0720308082933517,0.0,0.6106591517785691,0.6129014952340476,1.1444204082696257,0.0720308082933517,0.5733333333333334,0.5733333333333334,0.9992237678602957,1.0,0.0720308082933517,1.8445446469744085,False,False,,,,,,,False,False,False,False,False,False,False,False,False,False
judge_test_unsafe_temperature_event_0029,cstr,judge_test,judge_test_unsafe_temperature_event,unsafe_temperature_event,unsafe_temperature_event,mlp_state_space,7.476561162528858,4.050309445323674,20.007881029737632,20.008025320072814,25.90552113080076,0.0020271600755674,7.140186729739523,0.4241040606851125,0.0,True,25.90552113080076,0.0020271600755674,7.140186729739523,0.4241040606851125,0.0,0.5281940625828948,0.486958249862493,7.476561162528858,0.4241040606851125,0.9266666666666666,0.9266666666666666,0.9999999876067048,1.0,0.4241040606851125,1.8434985242129471,False,False,,,,,,,False,False,False,False,False,False,False,False,False,False
judge_test_unsafe_temperature_event_0030,cstr,judge_test,judge_test_unsafe_temperature_event,unsafe_temperature_event,unsafe_temperature_event,hold_last,10.31644989659549,5.789899151436768,27.456622032259304,27.457107602584568,25.709300210560244,5.551115123125783e-17,6.200578465120402,0.6164011751677044,0.0,True,25.709300210560244,5.551115123125783e-17,6.200578465120402,0.6164011751677044,0.0,0.5077622719756668,0.2561452244508112,10.31644989659549,0.6164011751677044,0.96,0.96,0.9999999997561104,1.0,0.6164011751677044,1.8553830226169945,False,False,,,,,,,False,False,False,False,False,False,False,False,False,False
judge_test_unsafe_temperature_event_0030,cstr,judge_test,judge_test_unsafe_temperature_event,unsafe_temperature_event,unsafe_temperature_event,linear_narx,1.033158835979831,0.5735757804002046,2.5425018975075204,2.5425232269363303,25.709300210560244,0.0117896821224328,6.200578465120402,0.0530896346295337,0.0,True,25.709300210560244,0.0117896821224328,6.200578465120402,0.0530896346295337,0.0,0.5747296956883752,0.3739986320759934,1.033158835979831,0.0530896346295337,0.5085714285714286,0.5085714285714286,0.9966402455086436,1.0,0.0530896346295337,1.706594823032446,False,False,,,,,,,False,False,False,False,False,False,False,False,False,False
judge_test_unsafe_temperature_event_0030,cstr,judge_test,judge_test_unsafe_temperature_event,unsafe_temperature_event,unsafe_temperature_event,mlp_state_space,7.10648112418787,3.81353667791759,19.24715676439041,19.24716315151372,25.709300210560244,0.0020974597810568,6.200578465120402,0.3722694904460957,0.0,True,25.709300210560244,0.0020974597810568,6.200578465120402,0.3722694904460957,0.0,0.4856890112729953,0.5063480105578786,7.10648112418787,0.3722694904460957,0.8685714285714285,0.8685714285714285,0.999999884845282,1.0,0.3722694904460957,1.6725783025040193,False,False,,,,,,,False,False,False,False,False,False,False,False,False,False
judge_test_unsafe_temperature_event_0031,cstr,judge_test,judge_test_unsafe_temperature_event,unsafe_temperature_event,unsafe_temperature_event,hold_last,10.639951270331126,5.941194776522435,28.32695859353163,28.32720154644272,25.879881779008,0.0,6.250378373313771,0.6017506386167316,0.0,True,25.879881779008,0.0,6.250378373313771,0.6017506386167316,0.0,0.5072712087284177,0.6103520060275169,10.639951270331126,0.6017506386167316,0.9571428571428572,0.9571428571428572,0.9999999996871172,1.0,0.6017506386167316,1.85000590565658,False,False,,,,,,,False,False,False,False,False,False,False,False,False,False
judge_test_unsafe_temperature_event_0031,cstr,judge_test,judge_test_unsafe_temperature_event,unsafe_temperature_event,unsafe_temperature_event,linear_narx,1.282337811510765,0.7134682729393809,3.1635959697943576,3.1636456600885614,25.879881779008,0.0117896821224274,6.250378373313771,0.0677204736974101,0.0,True,25.879881779008,0.0117896821224274,6.250378373313771,0.0677204736974101,0.0,0.5811537700788347,0.0319192103554927,1.282337811510765,0.0677204736974101,0.5666666666666667,0.5666666666666667,0.9977644853848876,1.0,0.0677204736974101,1.7330259677904412,False,False,,,,,,,False,False,False,False,False,False,False,False,False,False
