system_id,model_id,judge_id,coverage,bad_label_mode,false_accept_rate,event_false_accept_rate,accepted_count,accepted_bad_count,accepted_event_bad_count,event_precision,event_recall,event_bad_rate
cstr,mlp_state_space,rank_normalized_linear,0.05,bad_event,0.0,0.0,35,0,0,0.0,0.0,0.0
cstr,mlp_state_space,rank_normalized_linear,0.05,bad_rmse_or_event,0.8571428571428571,0.0,35,30,0,0.0,0.0,0.0
cstr,mlp_state_space,rank_normalized_linear,0.1,bad_rmse,0.8571428571428571,0.0,70,60,0,0.0,0.0,0.0
cstr,mlp_state_space,rank_normalized_linear,0.1,bad_event,0.0,0.0,70,0,0,0.0,0.0,0.0
cstr,mlp_state_space,rank_normalized_linear,0.1,bad_rmse_or_event,0.8571428571428571,0.0,70,60,0,0.0,0.0,0.0
cstr,mlp_state_space,logistic_calibrated_judge,0.05,bad_rmse,0.8,0.0,35,28,0,0.0,0.0,0.0
cstr,mlp_state_space,logistic_calibrated_judge,0.05,bad_event,0.0,0.0,35,0,0,0.0,0.0,0.0
cstr,mlp_state_space,logistic_calibrated_judge,0.05,bad_rmse_or_event,0.8,0.0,35,28,0,0.0,0.0,0.0
cstr,mlp_state_space,logistic_calibrated_judge,0.1,bad_rmse,0.7714285714285715,0.0,70,54,0,0.0,0.0,0.0
cstr,mlp_state_space,logistic_calibrated_judge,0.1,bad_event,0.0,0.0,70,0,0,0.0,0.0,0.0
cstr,mlp_state_space,logistic_calibrated_judge,0.1,bad_rmse_or_event,0.7714285714285715,0.0,70,54,0,0.0,0.0,0.0
cstr,mlp_state_space,isotonic_calibrated_judge,0.05,bad_rmse,0.7428571428571429,0.0,35,26,0,0.0,0.0,0.0
cstr,mlp_state_space,isotonic_calibrated_judge,0.05,bad_event,0.0,0.0,35,0,0,0.0,0.0,0.0
cstr,mlp_state_space,isotonic_calibrated_judge,0.05,bad_rmse_or_event,0.7428571428571429,0.0,35,26,0,0.0,0.0,0.0
cstr,mlp_state_space,isotonic_calibrated_judge,0.1,bad_rmse,0.7428571428571429,0.0,70,52,0,0.0,0.0,0.0
cstr,mlp_state_space,isotonic_calibrated_judge,0.1,bad_event,0.0,0.0,70,0,0,0.0,0.0,0.0
cstr,mlp_state_space,isotonic_calibrated_judge,0.1,bad_rmse_or_event,0.7428571428571429,0.0,70,52,0,0.0,0.0,0.0
cstr,mlp_state_space,quantile_rule_judge,0.05,bad_rmse,0.8571428571428571,0.0,35,30,0,0.0,0.0,0.0
cstr,mlp_state_space,quantile_rule_judge,0.05,bad_event,0.0,0.0,35,0,0,0.0,0.0,0.0
cstr,mlp_state_space,quantile_rule_judge,0.05,bad_rmse_or_event,0.8571428571428571,0.0,35,30,0,0.0,0.0,0.0
cstr,mlp_state_space,quantile_rule_judge,0.1,bad_rmse,0.8571428571428571,0.0,70,60,0,0.0,0.0,0.0
cstr,mlp_state_space,quantile_rule_judge,0.1,bad_event,0.0,0.0,70,0,0,0.0,0.0,0.0
cstr,mlp_state_space,quantile_rule_judge,0.1,bad_rmse_or_event,0.8571428571428571,0.0,70,60,0,0.0,0.0,0.0
cstr,mlp_state_space,conservative_low_coverage_judge,0.05,bad_rmse,0.8,0.0,35,28,0,0.0,0.0,0.0
cstr,mlp_state_space,conservative_low_coverage_judge,0.05,bad_event,0.0,0.0,35,0,0,0.0,0.0,0.0
cstr,mlp_state_space,conservative_low_coverage_judge,0.05,bad_rmse_or_event,0.8,0.0,35,28,0,0.0,0.0,0.0
cstr,mlp_state_space,conservative_low_coverage_judge,0.1,bad_rmse,0.7571428571428571,0.0,70,53,0,0.0,0.0,0.0
cstr,mlp_state_space,conservative_low_coverage_judge,0.1,bad_event,0.0,0.0,70,0,0,0.0,0.0,0.0
cstr,mlp_state_space,conservative_low_coverage_judge,0.1,bad_rmse_or_event,0.7571428571428571,0.0,70,53,0,0.0,0.0,0.0
two_tank,hold_last,best_single_signal_selected_on_calibration,0.05,bad_rmse,0.92,0.0,25,23,0,0.0,0.0,0.0
two_tank,hold_last,best_single_signal_selected_on_calibration,0.05,bad_event,0.0,0.0,25,0,0,0.0,0.0,0.0
two_tank,hold_last,best_single_signal_selected_on_calibration,0.05,bad_rmse_or_event,0.92,0.0,25,23,0,0.0,0.0,0.0
two_tank,hold_last,best_single_signal_selected_on_calibration,0.1,bad_rmse,0.96,0.0,50,48,0,0.0,0.0,0.0
two_tank,hold_last,best_single_signal_selected_on_calibration,0.1,bad_event,0.0,0.0,50,0,0,0.0,0.0,0.0
